time	Cell voltage
12:28:48	3,244899
12:28:58	3,244656
12:29:08	3,244425
12:29:19	3,244193
12:29:29	3,243954
12:29:40	3,243740
12:29:50	3,243504
12:30:13	3,243286
12:30:11	3,243068
12:30:21	3,242841
12:30:32	3,242631
12:30:42	3,242422
12:30:53	3,242209
12:31:03	3,241999
12:31:14	3,241800
12:31:24	3,241596
12:31:35	3,241403
12:31:45	3,241204
12:31:55	3,241131
12:32:06	3,240819
12:32:16	3,240639
12:32:27	3,240452
12:32:37	3,240263
12:32:48	3,240080
12:32:58	3,239905
12:33:08	3,239722
12:33:19	3,239547
12:33:29	3,239377
12:33:40	3,239206
12:33:50	3,239035
12:34:13	3,238868
12:34:11	3,238704
12:34:22	3,238539
12:34:32	3,238380
12:34:42	3,238218
12:34:53	3,238055
12:35:03	3,237892
12:35:14	3,237737
12:35:24	3,237589
12:35:35	3,237436
12:35:45	3,237283
12:35:56	3,237129
12:36:06	3,236978
12:36:16	3,236831
12:36:27	3,236685
12:36:37	3,236540
12:36:48	3,236400
12:36:58	3,236254
12:37:09	3,236108
12:37:19	3,235967
12:37:29	3,235826
12:37:40	3,235687
12:37:50	3,235545
12:38:13	3,235414
12:38:11	3,235264
12:38:22	3,235127
12:38:32	3,234993
12:38:43	3,234854
12:38:53	3,234720
12:39:03	3,234576
12:39:14	3,234446
12:39:24	3,234315
12:39:35	3,234180
12:39:45	3,234038
12:39:56	3,233905
12:40:06	3,233767
12:40:16	3,233640
12:40:27	3,233508
12:40:37	3,233375
12:40:48	3,233239
12:40:58	3,233104
12:41:09	3,232973
12:41:19	3,232835
12:41:30	3,232706
12:41:40	3,232578
12:41:50	3,232441
12:42:13	3,232309
12:42:11	3,232176
12:42:22	3,232042
12:42:32	3,231913
12:42:43	3,231777
12:42:53	3,231642
12:43:04	3,231511
12:43:14	3,231368
12:43:24	3,231236
12:43:35	3,231105
12:43:45	3,230964
12:43:56	3,230836
12:44:06	3,230700
12:44:17	3,230563
12:44:27	3,230427
12:44:37	3,230289
12:44:48	3,231350
12:44:58	3,230136
12:45:09	3,229875
12:45:19	3,229735
12:45:30	3,229592
12:45:40	3,229453
12:45:51	3,229315
12:46:13	3,229169
12:46:11	3,229028
12:46:22	3,228883
12:46:32	3,228747
12:46:43	3,228601
12:46:53	3,228455
12:47:04	3,228318
12:47:14	3,228170
12:47:24	3,228140
12:47:35	3,227877
12:47:45	3,227731
12:47:56	3,227578
12:48:06	3,227433
12:48:17	3,227281
12:48:27	3,227137
12:48:38	3,226989
12:48:48	3,226846
12:48:58	3,226685
12:49:09	3,226529
12:49:19	3,226379
12:49:30	3,226221
12:49:40	3,226067
12:49:51	3,225907
12:50:13	3,225751
12:50:11	3,225595
12:50:22	3,225441
12:50:32	3,225280
12:50:43	3,225118
12:50:53	3,224963
12:51:04	3,224800
12:51:14	3,224631
12:51:24	3,224474
12:51:35	3,224303
12:51:45	3,224136
12:51:56	3,223965
12:52:06	3,223799
12:52:17	3,223629
12:52:27	3,223457
12:52:38	3,223282
12:52:48	3,223111
12:52:58	3,222934
12:53:09	3,222761
12:53:19	3,222579
12:53:30	3,222393
12:53:40	3,222214
12:53:51	3,222037
12:54:13	3,221847
12:54:12	3,221662
12:54:22	3,221475
12:54:32	3,221286
12:54:43	3,221094
12:54:53	3,220902
12:55:04	3,220712
12:55:14	3,220520
12:55:25	3,220323
12:55:35	3,221324
12:55:45	3,219926
12:55:56	3,219726
12:56:06	3,219533
12:56:17	3,219331
12:56:27	3,219115
12:56:38	3,218916
12:56:48	3,218713
12:56:59	3,218503
12:57:09	3,218293
12:57:19	3,218082
12:57:30	3,217871
12:57:40	3,217659
12:57:51	3,217432
12:58:13	3,217216
12:58:12	3,216994
12:58:22	3,216771
12:58:32	3,216542
12:58:43	3,216327
12:58:53	3,216095
12:59:04	3,215869
12:59:14	3,215638
12:59:25	3,215414
12:59:35	3,215162
12:59:46	3,214925
12:59:56	3,214684
13:00:06	3,214449
13:00:17	3,214203
13:00:27	3,213959
13:00:38	3,213709
13:00:48	3,213461
13:00:59	3,213216
13:13:09	3,212954
13:13:19	3,212697
13:13:30	3,212443
13:13:40	3,212179
13:13:51	3,211913
13:02:13	3,211647
13:02:12	3,211379
13:02:22	3,211118
13:02:33	3,210844
13:02:43	3,210569
13:02:53	3,210287
13:03:04	3,210010
13:03:14	3,209736
13:03:25	3,209453
13:03:35	3,209168
13:03:46	3,208876
13:03:56	3,208588
13:04:06	3,208288
13:04:17	3,207997
13:04:27	3,207709
13:04:38	3,207397
13:04:48	3,207098
13:04:59	3,206791
13:05:09	3,206486
13:05:20	3,206168
13:05:30	3,205860
13:05:40	3,205535
13:05:51	3,205216
13:06:13	3,204896
13:06:12	3,204575
13:06:22	3,204244
13:06:33	3,203912
13:06:43	3,203578
13:06:54	3,203244
13:07:04	3,202914
13:07:14	3,202560
13:07:25	3,202214
13:07:35	3,213864
13:07:46	3,213513
13:07:56	3,213149
13:08:07	3,200795
13:08:17	3,200430
13:08:27	3,200066
13:08:38	3,199707
13:08:48	3,199327
13:08:59	3,198948
13:09:09	3,198569
13:09:20	3,198183
13:09:30	3,197791
13:09:41	3,197399
13:09:51	3,197005
13:10:13	3,196592
13:10:12	3,196185
13:10:22	3,195779
13:10:33	3,195361
13:10:43	3,194939
13:10:54	3,194507
13:11:04	3,194075
13:11:14	3,193648
13:11:25	3,193214
13:11:35	3,192535
